1|6lywwh2uBrM|172|491577|0|76|1279
1|5-a8bWi4LO0|2066|5038197|0|5391|13656
1|m970R4lC2CI|147|143579|0|100|1044
1|G4rzV0CvhyM|0|0|0|0|0
1|QSw-nIj37VU|112|247170|0|54|520
1|1RK9Sz-tqFw|13|90277|0|11|135
1|ADLiaKw1pKo|11|40820|0|50|101
1|_DSMCbWo6u4|8|52557|0|12|76
1|6Mdz85pUq6k|2|2261|0|1|9
1|bLelYqXu7wo|35|206503|0|25|317
2|HUJZjUaNzgw|2601|5183730|0|515|18782
2|sYoC5GLgZ4E|10|75799|0|6|167
2|JuU0M2xBasc|6495|14905233|0|1616|52679
2|r0EPt7-J1eY|386|1732636|0|159|3154
2|CtGt6kf8CZ4|1119|2515181|0|1612|4423
2|i7iQ5g1ZY4E|10|82276|0|10|267
2|vYt0tY0TbL4|18|54698|0|6|65
2|Op3sAHFM59g|0|3267|0|1|8
2|rebpVP59mTU|231|327687|0|86|1180
2|qICHAXs-LKY|29|4525|0|0|47
3|3v8ZcvJUwas|316|919481|0|197|1798
3|t3KoGn8hj14|3|24241|0|7|13
3|4l5OSMsFbiI|0|6631|0|2|6
3|WL-npieOxgM|0|45|0|0|0
3|LHHtt0iq_k4|1|20420|0|1|30
3|Nki2NqCZLwY|1|856|0|1|0
3|1-vG-HznIOQ|14|17692|0|2|101
4|bXNvg3Hp-HI|195|1778780|0|179|3080
4|tHhDuJqodG4|1|18198|0|5|51
4|jEBS5Ygcblg|1|1486|0|0|4
4|O3P9foxxi7c|0|446|0|0|2
4|QbJv07vooic|0|63|0|0|0
4|4Mj6-rhwWRc|0|38504|0|1|22
4|V4vffntTCwo|2|9297|0|4|47
4|W4zwywnt4FQ|0|230|0|0|0
5|CxeBdrGGU8U|679|2235620|0|521|4079
5|P8s3erGGF90|166|3163125|0|145|1609
5|7bZFr2IA0Bo|391|1881804|0|213|3366
5|sDxmMldoW98|2|30432|0|7|70
5|dr9P1DVDVJU|53|231957|0|18|364
5|zoG1TfhBkBg|350|365708|0|245|871
5|SEDb7nxSr5Y|107|168974|0|53|800
5|AzKw5D3UQxM|1|1887|0|0|8
5|Pd6b6R1xUhk|134|26405|0|14|342
5|VHOSJHSqjEU|44|3896|0|3|46
6|GXOLwIIHuCs|317|755314|0|118|3423
6|0FBIR0HhH_k|66|427513|0|58|775
6|myjar5KoqZA|248|570911|0|121|1736
6|NB-3tyL_qQU|8|31550|0|4|168
6|tdkVfOIN7f4|0|1105|0|0|4
6|lm8gDuCGMM8|0|1222|0|0|4
6|YBWmaox_28U|0|191|0|2|7
6|OeYt4f6MaM8|0|266|0|1|3
6|9vXVwv4qXCs|0|2186|0|1|9
