113|Labor Day|31|Jan|2014|tt1967545
114|That Awkward Moment|31|Jan|2014|tt1800246
115|Somewhere Slow|02|Mar|2013|tt1928338
116|Android Cop|29|Oct|2015|tt3393070
117|The Monuments Men|07|Feb|2014|tt2177771
118|The Outsider|11|Mar|2014|tt2198241
119|Scorned|04|Feb|2014|tt2293750
120|After the Dark|10|Oct|2013|tt1928340
121|Nurse 3D|24|Oct|2013|tt1913166
122|The Pretty One|07|Feb|2014|tt2140577
123|Vampire Academy|07|Feb|2014|tt1686821
124|About Last Night|14|Feb|2014|tt1826590
125|Adult World|14|Feb|2014|tt1067765
126|Camp Takota|14|Feb|2014|tt3097084
127|Date and Switch|14|Feb|2014|tt1878942
128|Endless Love|14|Feb|2014|tt2318092
129|RoboCop|12|Feb|2014|tt1234721
130|Someone Marry Barry|09|Sep|2014|tt1978532
131|Apocalypse Pompeii|08|Jan|2016|tt3384904
132|3 Days to Kill|21|Feb|2014|tt2172934
133|Angels in Stardust|21|Feb|2014|tt1640483
134|Barefoot|04|Sep|2014|tt2355495
135|Holy Ghost People|10|Mar|2013|tt2298224
136|The Bag Man|20|Mar|2014|tt2212008
137|Non-Stop|28|Feb|2014|tt2024469
138|Repentance|01|Mar|1987|tt0093754
139|Son of God|28|Feb|2014|tt3210686
140|300: Rise of an Empire|07|Mar|2014|tt1253863
141|Mr. Peabody & Sherman|07|Mar|2014|tt0864835
142|Better Living Through Chemistry|14|Mar|2014|tt1609479
143|Need for Speed|14|Mar|2014|tt2369135
144|The Single Moms Club|14|Mar|2014|tt2465140
145|Veronica Mars|22|Sep|2004|tt0412253
146|Divergent|21|Mar|2014|tt1840309
147|God's Not Dead|21|Mar|2014|tt2528814
148|Muppets Most Wanted|21|Mar|2014|tt2281587
149|50 to 1|21|Mar|2014|tt1777595
150|Noah|28|Mar|2014|tt1959490
151|Sabotage|28|Mar|2014|tt1742334
152|The Ladies of the House|01|May|2015|tt2397573
153|Alien Abduction|01|May|2014|tt2510434
154|Captain America: The Winter Soldier|04|Apr|2014|tt1843866
155|In the Blood|18|Apr|2014|tt2101570
156|Jinn|14|Apr|2014|tt1562899
157|Draft Day|11|Apr|2014|tt2223990
158|Oculus|11|Apr|2014|tt2388715
159|Rio 2|11|Apr|2014|tt2357291
160|Asian School Girls|15|Apr|2014|tt3421270
161|Heaven Is for Real|16|Apr|2014|tt1929263
162|Authors Anonymous|18|Mar|2014|tt2114461
163|A Haunted House 2|18|Apr|2014|tt2828996
164|Kid Cannabis|18|Apr|2014|tt0780548
165|Transcendence|18|Apr|2014|tt2209764
166|13 Sins|11|Apr|2014|tt2059171
167|Brick Mansions|25|Apr|2014|tt1430612
168|The Other Woman|25|Apr|2014|tt2203939
169|Walking with the Enemy|15|Apr|2014|tt1515208
170|The Amazing Spider-Man 2|02|May|2014|tt1872181
171|Bad Johnson|02|May|2014|tt2091325
172|Decoding Annie Parker|02|May|2014|tt1464191
173|Walk of Shame|01|May|2014|tt2463288
174|Devil's Knot|12|Mar|2014|tt0804463
175|God's Pocket|08|Aug|2014|tt2920808
176|Neighbors|09|May|2014|tt2004420
177|Stage Fright|15|Apr|1950|tt0042994
178|Godzilla|16|May|2014|tt0831387
179|Million Dollar Arm|16|May|2014|tt1647668
180|The Angriest Man in Brooklyn|23|May|2014|tt1294970
181|Blended|23|May|2014|tt1086772
182|Cold in July|31|Dec|2014|tt1179031
183|X-Men: Days of Future Past|23|May|2014|tt1877832
184|Maleficent|30|May|2014|tt1587310
185|A Million Ways to Die in the West|30|May|2014|tt2557490
186|Edge of Tomorrow|06|Jun|2014|tt1631867
187|The Fault in Our Stars|06|Jun|2014|tt2582846
188|Ping Pong Summer|06|Jun|2014|tt2402985
189|22 Jump Street|13|Jun|2014|tt2294449
190|Hellion|13|Jun|2014|tt3186318
191|How to Train Your Dragon 2|13|Jun|2014|tt1646971
192|Lullaby|13|Jun|2014|tt2210781
193|Murder 101|20|Mar|1991|tt0102482
194|Obvious Child|29|Aug|2014|tt2910274
195|The Signal|10|Jul|2014|tt2910814
196|Jersey Boys|20|Jun|2014|tt1742044
197|Think Like a Man Too|20|Jun|2014|tt2239832
198|The Rebound|16|Sep|2009|tt1205535
199|America: Imagine the World Without Her|02|Jul|2014|tt2785390
200|They Came Together|05|Sep|2014|tt2398249
201|Transformers: Age of Extinction|27|Jun|2014|tt2109248
202|Deliver Us from Evil|02|Jul|2014|tt2377322
203|Earth to Echo|02|Jul|2014|tt2183034
204|School Dance|02|Jul|2014|tt2179936
205|Tammy|02|Jul|2014|tt2103254
206|The Ladies of the House|01|May|2015|tt2397573
207|Boyhood|15|Aug|2014|tt1065073
208|Dawn of the Planet of the Apes|11|Jul|2014|tt2103281
209|Rage|09|May|2014|tt2401807
210|Road to Paloma|11|Jul|2014|tt2386285
211|I Origins|19|Sep|2014|tt2884206
212|Persecuted|18|Jul|2014|tt1761005
213|Planes: Fire & Rescue|18|Jul|2014|tt2980706
214|The Purge: Anarchy|18|Jul|2014|tt2975578
215|Sex Tape|18|Jul|2014|tt1956620
216|Tiger Orange|01|Jul|2014|tt2866824
217|Wish I Was Here|25|Jul|2014|tt2870708
218|And So It Goes|25|Jul|2014|tt2465146
219|Happy Christmas|26|Jun|2014|tt2955096
